obsid,norad
1160503432,18131
1160503432,34574
1160503432,25395
1160503432,14563
1160503432,30573
1160503312,2985
1160503312,30672
1160503312,31399
1160503312,7350
1160503312,5426
1160503192,18552
1160503192,25394
1160503192,2985
1160503072,38272
1160503072,30694
1160503072,18526
1160502952,28852
1160502952,21574
1160502952,38272
1160502832,28852
1160502712,36182
1160502712,32125
1160502592,19106
1160502592,34999
1160502592,36182
1160502472,31996
1160502472,15427
1160502472,19106
1160502352,5414
1160502352,31029
1160502352,18767
1160502352,35213
1160502352,31996
1160502232,20438
1160502232,27535
1160502232,35080
1160502232,33663
1160502232,24920
1160502232,31029
1160502232,18767
1160502232,35213
1160502112,2671
1160502112,33770
1160502112,17526
1160502112,3494
1160502112,35080
1160502112,27535
1160501992,22387
1160501992,19324
1160501992,30085
1160501872,25397
1160501872,4973
1160501872,22387
1160501752,35739
1160501752,6217
