obs,norad,channel1,channel2
1165782856,13720,514,594
1165782736,24809,759,739
1165782496,23640,524,634
1165781416,34038,725,643
1165776496,36597,699,539
1165776256,31123,504,484
1165775896,37214,664,604
1165775656,34120,504,764
1165771576,37849,699,564
1165770376,25039,594,634
1165770256,2144,614,554
1165770256,17807,599,434
1165769176,32320,685,724
1165768576,41337,759,692
1165767376,35931,724,564
1165766296,24298,644,724
1165766296,36327,715,713
1165765936,2142,504,524
1165765816,25759,504,524
1165763536,29110,632,759
1165763536,39731,554,564
1165762936,40336,614,554
1165762336,41659,514,535
1165762216,41294,533,554
1165760896,39177,632,412
1165759696,33504,759,692
1165758256,31033,655,635
1165757896,41332,759,664
1165757056,40288,554,614
1165753576,11081,399,439
1165752856,31040,644,645
1160505712,24793,614,594
1160505112,24794,504,709
1160504872,33318,759,622
1160504272,17974,524,624
1160503672,24971,719,554
1160503312,7350,514,535
1160503192,25394,554,674
1160502952,38272,595,594
1160502232,24920,519,699
1160500192,10974,759,739
1160499712,28773,739,539
1160499352,21819,554,469
1160498872,40262,614,724
1160495872,16681,555,534
1160493712,26546,634,614
1160492992,10793,539,632
1160491312,35689,614,469
1160489992,41620,759,692
1160489152,38771,719,684
1160489152,41605,554,614
1160489032,38341,759,699
1160483992,17589,504,594
1160483272,22568,723,504
1160482912,32958,484,504
1160482432,36658,595,614
1160481712,31509,465,462
1160480992,20974,534,634
1160479912,12785,739,632
1157489632,31699,759,699
1157469232,33504,614,539
1157459032,28931,614,554
1157406472,14820,759,719
1157406472,26374,459,419
1157402272,13513,534,514
1157401672,7275,749,709
1157400472,26930,494,554
1157398072,36594,554,484
1157384272,40261,554,494
1157378272,29499,504,464
