obsid,norad
1160497912,40073
1160497912,35325
1160497912,26235
1160497792,12962
1160497792,24950
1160497792,25477
1160497792,3753
1160497672,23007
1160497672,24946
1160497672,34128
1160497672,12962
1160497672,25477
1160497672,24950
1160497672,2994
1160497552,4776
1160497552,23007
1160497552,24946
1160497432,38478
1160497432,39641
1160497432,36942
1160497432,39676
1160497432,20103
1160497312,34986
1160497312,28071
1160497312,27783
1160497312,38478
1160497312,36942
1160497312,39641
1160497192,41386
1160497192,13653
1160497192,32406
1160497192,10512
1160497192,19274
1160497192,2119
1160497192,25736
1160497192,30988
1160497192,28071
1160497072,16211
1160497072,30548
1160497072,22379
1160497072,10512
1160497072,32406
1160497072,19274
1160496952,22330
1160496952,37651
1160496952,35624
1160496952,16211
1160496832,4852
1160496832,22330
1160496832,253
1160496832,37651
1160496712,12803
1160496712,722
1160496712,30092
1160496712,39769
1160496712,22996
1160496712,4852
1160496592,351
1160496592,34159
1160496592,41573
1160496592,40327
1160496592,27784
1160496592,41570
1160496592,41572
1160496592,12803
1160496472,38723
1160496472,41565
1160496472,31255
1160496472,39436
1160496352,40290
1160496352,39574
1160496352,309
1160496352,38810
1160496352,21335
1160496352,41479
1160496352,34042
1160496352,38723
1160496232,33775
1160496232,39544
1160496232,41483
1160496232,40290
1160496232,39574
1160496232,309
